Buxoro shahar;Город бухара;Bukhara city;To\'qimachi dehqon bozori MCHJ;Тукимачи Фермерский Рынок;Textile Farmers Market MCHJ;201556512;
Buxoro shahar;Город бухара;Bukhara city;Buxoro qishloq xo\'jalik mahsulotlarini ulgurji sotish bozori;Бухарский оптовый рынок сельскохозяйственной продукции;Bukhara wholesale market of agricultural products;305620919;
Kogon shahar;Город Каган;Kagan city;Sohibkor dehqon bozori MCHJ;\"Сохибкор Фермерский Рынок\";Sohibkor Farmer\'s Market MCHJ;201831147;
Olot tumani;Алатский район;Alatsky district;Olot dehqon bozori MCHJ;Алат Фармерс Маркет, ООО;Alat Farmer\'s Market MCHJ;202178959;
Buxoro tumani;Бухарский район;Bukhara region;Galaosiyo Dehqonobod dehqon bozori MCHJ;Галаосиё Дехканабадский Фермерский Рынок, ООО;Galaosiyo Dehkanabad Farmer\'s Market MCHJ;201937536;
Vobkent tumani;Вабкентский район;Vabkent district;Vobkent markaziy dehqon bozori MCHJ;ООО Вобкент Центральный Фермерский Рынок;Vobkent Central Farmer\'s Market MCHJ;201408014;
G\'ijduvon tumani;Гиждувон район;Gijduvon district;G\'ijduvon dehqon bozori AJ;Гиждуванский фермерский рынок AJ;Gijduvan Farmer\'s Market AJ;200863274;
Qorako\'l tumani;Каракульский район;Karakul district;Qorako\'l dehqon bozori MCHJ;Каракульский Фермерский Рынок, ООО;Karakul Farmer\'s Market MCHJ;201366804;
Peshko\' tumani;Пешкунский район;Peshku District;Peshko\'-Navoiy dehqon bozori MCHJ;Пешко-Навоийский Фермерский Рынок МЧЖ;Peshko-Navoi Farmer\'s Market MCHJ;205598125;
Romitan tumani;Ромитанский район;Romitan district;Romitan dehqon bozori AJ;Romitan Farmers Market AJ;Romitan Farmers Market AJ;200888994;
Jondor tumani;Жондорский район;Jondor district;Jondor dehqon bozori MCHJ;Jondor Farmer\'s Market MCHJ;Jondor Farmer\'s Market MCHJ;201808316;
Shofirkon tumani;Шафирканский район;Shafirkan district;Shofirkon dehqon bozori MCHJ;Шафиркон Фермерский Рынок МЧЖ;Shafirkon Farmer\'s Market MCHJ;201114286;
Qorovulbozor tumani;Караулбазарский район;Karaulbazar district;Qorovulbozor dehqon bozori MCHJ;Каравульбозор Фермерский рынок МЧЖ;Karavulbozor Farmer\'s Market MCHJ;201828703;
